"class_id","total_homeworks","total_students"
1,48,0
7,68,0
6,69,0
4,34,0
3,82,0
2,81,0
5,80,0
14,1,0
16,6,0
162,3,1
161,1,1
169,1,0
168,1,3
171,8,9
239,1,7
216,2,4
259,9,4
288,53,9
313,1,2
365,1,2
370,1,1
224,1,1
384,5,2
413,2,2
417,1,0
427,2,3
432,2,1
433,2,2
447,1,2
443,1,2
454,1,1
448,1,2
449,1,2
473,5,2
479,1,2
487,2,1
513,2,1
521,1,2
523,5,2
525,1,2
536,2,2
537,1,2
540,3,2
546,2,1
552,2,2
555,1,0
556,1,0
566,1,6
577,2,2
578,2,4
580,1,1
588,1,1
611,2,2
589,51,7
590,50,8
624,2,2
591,50,6
592,51,7
593,12,0
626,1,3
636,1,2
645,2,3
652,1,2
657,1,3
659,1,2
661,1,2
663,1,2
670,1,2
681,1,3
683,7,3
684,1,2
690,1,3
694,1,2
695,1,2
697,2,5
698,1,5
699,1,4
703,1,5
705,1,6
706,1,6
709,1,2
710,1,4
713,1,1
721,1,4
726,2,4
729,3,2
730,2,4
731,1,2
734,1,3
735,1,3
736,2,3
741,3,1
743,2,3
750,1,5
716,7,1
753,2,3
754,2,3
755,1,2
756,1,5
761,1,4
762,4,3
766,2,4
769,1,4
770,3,3
759,1,2
290,16,1
771,3,3
773,2,3
778,5,4
456,2,6
779,2,2
782,1,2
786,3,3
787,1,1
785,1,0
791,2,3
796,5,2
799,5,2
803,74,1
804,72,1
805,68,1
806,64,1
807,56,1
808,59,1
811,1,3
814,1,0
816,3,3
813,3,4
823,7,2
825,1,1
826,1,1
831,12,2
833,1,1
837,2,5
838,1,4
841,2,3
842,8,3
844,1,3
848,1,2
849,4,8
855,1,1
858,128,5
835,54,4
836,69,6
863,2,4
847,4,3
890,2,3
959,5,1
962,42,10
966,3,1
988,1,0
993,6,0
997,6,0
998,12,1
995,51,5
996,224,3
1004,1,1
1006,32,3
1013,2,1
1015,23,1
1014,5,3
1017,70,1
1027,1,1
1025,1,0
1041,5,1
1042,18,4
1044,4,5
1045,9,5
1051,3,0
1052,1,0
1053,7,3
1057,4,1
1059,3,0
1064,1,0
1065,1,0
1038,4,1
1067,2,0
1074,4,1
1077,4,0
1082,4,1
1083,15,0
1084,28,0
1085,13,0
1086,10,0
1088,21,0
1090,7,0
1091,10,0
1092,2,0
1093,4,16
1096,8,1
1098,1,1
1101,12,0
1104,1,1
1105,4,1
1106,4,1
1107,4,1
1108,2,0
1110,1,0
1114,1,0
1115,10,1
1094,34,29
1095,26,19
1117,5,1
1118,19,0
1119,3,1
1120,1,0
1121,4,1
1122,4,1
1123,4,1
1124,112,2
1111,1,1
1125,58,1
1126,47,1
1127,2,2
1128,7,1
1129,58,7
1130,7,8
1131,6,8
1132,5,9
1133,13,10
1134,39,15
1135,38,21
1136,12,6
1137,1,2
1138,4,2
1139,4,6
1140,4,0
1150,3,2
1152,6,2
1165,57,2
1164,57,1
1163,57,1
1162,55,1
1161,56,1
1167,1,0
1169,1,1
1170,1,1
1171,1,1
1172,1,1
1173,8,1
1174,28,1
1175,210,3
1178,65,3
1179,100,3
1180,18,3
1181,38,3
1182,40,3
1183,20,3
1184,18,3
1185,15,3
1186,7,3
1188,1,0
1189,8,3
1191,1,0
1193,28,1
1195,1,0
1196,8,0
1202,11,0
1203,14,2
1221,66,41
1199,6,0
1226,5,1
1228,2,1
1198,1,0
1229,1,0
1231,22,1
1230,1,0
1252,18,1
1251,69,2
1237,63,1
1235,65,3
1232,69,1
1238,62,1
1250,72,1
1246,67,1
1245,70,3
1249,70,1
1236,64,1
1233,67,2
1247,70,1
1270,5,1
1275,2,1
1243,70,1
1242,72,1
1244,68,2
1276,4,1
1281,15,0
1285,1,1
1287,2,2
1290,126,1
1292,126,0
1294,126,0
1295,126,0
1296,126,0
1298,126,0
1259,2,1
1258,3,3
1257,2,3
1301,2,1
1308,126,0
1315,3,1
1317,13,2
1316,1,0
1319,2,1
1322,2,4
1324,1,2
1326,1,2
1327,2,3
1328,3,2
1329,1,1
1354,126,0
1355,126,5
1353,54,0
1356,129,7
1357,6,1
1358,10,1
1359,126,0
1360,126,0
1362,126,0
1363,54,0
1364,126,0
1365,126,0
1366,126,0
1369,126,0
1370,126,0
1371,35,5
1372,32,5
1374,2,0
1376,1,2
1373,35,3
1377,39,4
1378,39,4
1379,41,4
1380,42,4
1383,40,3
1384,54,0
1385,35,0
1386,30,2
1387,42,3
1388,40,3
1389,35,0
1390,33,0
1391,53,3
1392,66,3
1393,68,3
1394,61,3
1395,58,3
1396,66,3
1397,35,0
1398,113,0
1399,114,0
1400,133,0
1401,119,0
1402,35,0
1404,42,0
1405,44,0
1406,52,0
1407,56,0
1408,41,0
1410,28,0
1411,28,0
1412,33,0
1414,35,0
1415,35,0
1416,35,0
1419,4,0
1239,37,1
1424,3,3
1425,2,0
1426,23,5
1428,33,0
1429,2,1
1430,2,2
1431,1,1
1432,51,1
1433,1,0
