student_id,product,skill,level,class_id
L0603207052,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L0603207052,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L0603207052,【販売停止】【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L0603207052,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L0603207052,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L0603209675,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L0603209675,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L0603209675,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L0603209675,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L0603209860,English Advantage 演習 2回,General English,Level 0,1738
L0603209860,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L0603209860,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L0604203283,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L0704201328,【販売停止】【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L0704201328,【販売停止】【e-text】English Advantage Foundation,General English,Level 0,1738
L1201200276,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1201200276,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1201200276,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1205102072,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1205102072,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1401300310,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1401300310,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1401300310,English Advantage 演習 1回,General English,Level 0,1738
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1404200583,English Advantage 演習 3回,General English,Level 0,1738
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1404200583,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1407200184,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1407200184,English Advantage 演習 5回,General English,Level 0,1738
L1407200184,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1407305004,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1407305004,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1407305004,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1407305004,English Advantage 演習 5回,General English,Level 0,1738
L1407305004,English Advantage 演習 1回,General English,Level 0,1738
L1407305004,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1408200598,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1504034589,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1504034589,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1504034589,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1504034589,【e-text】English Advantage Foundation,General English,Level 0,1738
L1504041387,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1504041387,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1505055377,【e-text】English Advantage Foundation,General English,Level 0,1738
L1505055377,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1507079530,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1507079530,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1507079530,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1508081094,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1511102672,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L1511102672,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1511102672,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1511102672,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L1511102672,【販売停止】【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1511102672,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1602133080,【販売停止】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1602133080,【販売停止】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1602133080,【販売停止】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1608169380,【ショート16】English Advantage Novice Book2,General English,Level 2,1729
L1609175056,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1609175056,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1701206025,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1702214424,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1702214424,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1702214424,【販売停止】【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1702214424,【販売停止】【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1703219635,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1704234874,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1704234874,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1705239259,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1708260188,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L1708260188,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L1708260188,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L1801290569,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1801290569,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1801290569,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1801290569,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1803304122,【e-text】English Advantage Ｌｅｖｅｌ 7,General English,Level 7,1734
L1803304122,English Advantage 演習 4回,General English,Level 0,1738
L1803304122,【e-text】English Advantage Ｌｅｖｅｌ 8,General English,Level 8,1735
L1803304122,English Advantage 演習 1回,General English,Level 0,1738
L1803304122,【e-text】English Advantage Ｌｅｖｅｌ 9,General English,Level 9,1736
L1803304122,【e-text】English Advantage Ｌｅｖｅｌ 10,General English,Level 10,1737
L1804315403,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L1804315403,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
